tweet_id,timestamp,rating_numerator,rating_denominator,name,favorite_count,retweet_count,jpg_url,img_num,breed,confidence,stage
817777686764523521,2017-07-10 15:58:53,14.0,10,,26472,5529,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1,pembroke,0.993225,
817777686764523521,2017-07-09 21:29:42,12.0,10,Yogi,19950,2920,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,german_shepherd,0.707046,doggo
817777686764523521,2017-07-09 00:00:04,12.0,10,Noah,21479,3373,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1,doberman,0.610946,
817777686764523521,2017-07-08 00:28:19,5.0,10,Bella,45029,9704,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1,golden_retriever,0.943082,
817777686764523521,2017-07-07 16:22:55,13.0,10,Grizzwald,22248,3618,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1,chow,0.987997,floofer
817777686764523521,2017-07-07 00:17:54,13.0,10,,36437,6515,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2,golden_retriever,0.949562,
817777686764523521,2017-07-06 15:58:11,13.0,10,Rusty,23491,3835,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,1,eskimo_dog,0.466778,
817777686764523521,2017-07-06 00:46:41,12.0,10,Gus,27748,4798,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,labrador_retriever,0.85005,pupper
817777686764523521,2017-07-05 15:48:34,13.0,10,Stanley,27390,5941,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1,pembroke,0.542982,
817777686764523521,2017-07-04 16:01:23,13.0,10,Alfy,44059,11335,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1,golden_retriever,0.762211,
817777686764523521,2017-07-04 01:18:17,13.0,10,Koko,28789,4855,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,1,golden_retriever,0.00694063,
817777686764523521,2017-07-03 16:04:48,12.0,10,Rey,23842,3316,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,1,weimaraner,0.291539,
817777686764523521,2017-07-03 00:11:11,13.0,10,Gary,49610,10436,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,1,saluki,0.529012,
817777686764523521,2017-07-02 15:32:16,14.0,10,,48466,15600,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,1,samoyed,0.281463,pupper
817777686764523521,2017-07-01 21:49:04,12.0,10,Elliot,22641,5066,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,1,Unidentifiable,0.0,
817777686764523521,2017-06-30 23:47:07,13.0,10,Louis,16694,2724,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,1,Unidentifiable,0.0,
817777686764523521,2017-06-30 19:35:32,12.0,10,,20860,3738,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,1,pembroke,0.791416,
817777686764523521,2017-06-29 16:39:47,12.0,10,Bella,27986,6138,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,1,golden_retriever,0.913255,
817777686764523521,2017-06-29 00:27:25,12.0,10,Jesse,26523,4123,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,1,chihuahua,0.238525,
817777686764523521,2017-06-28 16:09:20,11.0,10,,27095,4259,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,1,miniature_pinscher,0.120298,
817777686764523521,2017-06-28 00:42:13,13.0,10,Romeo,21913,3420,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,3,basset,0.813507,
817777686764523521,2017-06-27 00:10:17,12.0,10,Bailey,22981,3110,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,1,german_short-haired_pointer,0.479896,
817777686764523521,2017-06-26 19:07:24,13.0,10,Duddles,103835,43332,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,1,english_springer,0.383404,
817777686764523521,2017-06-26 16:31:08,12.0,10,Jack,16473,3050,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,1,labrador_retriever,0.0334961,
817777686764523521,2017-06-25 18:56:45,11.0,10,Steven,22116,4619,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,1,Unidentifiable,0.0,
817777686764523521,2017-06-25 16:07:47,13.0,10,Beau,18620,2641,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,1,vizsla,0.960513,
817777686764523521,2017-06-25 00:45:22,13.0,10,Snoopy,19039,4047,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,2,italian_greyhound,0.734684,puppo
817777686764523521,2017-06-23 16:00:04,13.0,10,Shadow,7597,1262,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,1,basset,0.32042,
